cycle,env,symbol
12143940557,linux,wake_up_process
12143940616,linux,try_to_wake_up
12143940780,linux,_raw_spin_lock_irqsave
12143941796,linux,find_next_bit
12143941855,linux,_find_next_bit
12143942445,linux,__cpuidle_text_end
12143942616,linux,update_rq_clock
12143942631,linux,sched_clock_cpu
12143942753,linux,ttwu_do_activate
12143942883,linux,activate_task
12143943010,linux,enqueue_task_fair
12143943364,linux,update_curr
12143943879,linux,__update_load_avg_se.isra
12143944407,linux,__update_load_avg_cfs_rq.
12143945529,linux,__enqueue_entity
12143945705,linux,rb_insert_color_cached
12143946252,linux,wq_worker_waking_up
12143946313,linux,kthread_data
12143946550,linux,ttwu_do_wakeup.isra.5
12143946562,linux,check_preempt_curr
12143946730,linux,check_preempt_wakeup
12143946923,linux,update_curr
12143947176,linux,wakeup_preempt_entity.isr
12143947303,linux,__calc_delta
12143947661,linux,set_next_buddy
12143947829,linux,resched_curr
12143948212,linux,_raw_spin_unlock_irqresto
12143948828,linux,elv_put_request
12143948998,linux,cfq_put_request
12143949173,linux,cfq_put_queue
12143949338,linux,put_io_context
12143949492,linux,mempool_free
12143949610,linux,free_request_simple
12143949672,linux,kmem_cache_free
12143950338,linux,freed_request
12143950656,linux,__freed_request
12143950826,linux,clear_wb_congested
12143951392,linux,blk_queue_exit
12143952094,linux,kfree
12143952995,linux,blk_start_queue_async
12143953064,linux,blk_run_queue_async
12143953203,linux,mod_delayed_work_on
12143953326,linux,try_to_grab_pending
12143953449,linux,del_timer
12143953757,linux,__queue_delayed_work
12143953928,linux,__queue_work
12143954106,linux,get_work_pool
12143954233,linux,radix_tree_lookup
12143954241,linux,__radix_tree_lookup
12143954534,linux,__cpuidle_text_end
12143954641,linux,insert_work
12143954766,linux,get_pwq.isra.2
12143954797,linux,wake_up_process
12143954804,linux,try_to_wake_up
12143954826,linux,_raw_spin_lock_irqsave
12143955054,linux,_raw_spin_unlock_irqresto
12143955749,linux,add_interrupt_randomness
12143956128,sm,trap_vector
12143956337,sm,illegal_insn_trap
12143956357,sm,emulate_system_opcode
12143956532,sm,restore_mscratch
12143956533,sm,restore_regs
12143957329,linux,note_interrupt
12143957896,linux,__cpuidle_text_end
